frame_num,sensor_ts_ns,wall_ts_ns,is_keyframe,size_bytes,packet_count
2943,9058967063000,1778513040586946678,0,29596,2
2944,9059000384000,1778513040619345753,0,15773,1
2945,9059033708000,1778513040652634041,0,13263,1
2946,9059067027000,1778513040678141794,0,13252,1
2947,9059100347000,1778513040712018058,0,16248,1
2948,9059133670000,1778513040752484574,0,16546,1
2949,9059166991000,1778513040785920916,0,24765,2
2950,9059200312000,1778513040813145338,0,23615,2
2951,9059233635000,1778513040852663103,0,23830,2
2952,9059266956000,1778513040885700523,0,23528,2
2953,9059300278000,1778513040919125477,0,23024,2
2954,9059333599000,1778513040952771966,0,29395,2
2955,9059366922000,1778513040985953996,0,28658,2
2956,9059400241000,1778513041019176915,0,28819,2
2957,9059433563000,1778513041052533295,0,29034,2
2958,9059466884000,1778513041085849806,0,28355,2
2959,9059500206000,1778513041119075854,0,29022,2
2960,9059533527000,1778513041152486197,0,28318,2
2961,9059566849000,1778513041185751745,0,28406,2
2962,9059600169000,1778513041213796325,0,28656,2
2963,9059633492000,1778513041252588079,0,28328,2
2964,9059666811000,1778513041285777331,0,38133,2
2965,9059700134000,1778513041320676586,0,28194,2
2966,9059733456000,1778513041352435019,0,37025,2
2967,9059766778000,1778513041385716918,0,37390,2
2968,9059800098000,1778513041419063910,0,27813,2
2969,9059833420000,1778513041452317699,0,36841,2
2970,9059866742000,1778513041485555877,0,36642,2
2971,9059900062000,1778513041519230217,0,27656,2
2972,9059933384000,1778513041552281860,0,37166,2
2973,9059966706000,1778513041585599463,0,27458,2
2974,9060000027000,1778513041618853066,0,36518,2
2975,9060033349000,1778513041652189595,0,37187,2
2976,9060066671000,1778513041685517976,0,27373,2
2977,9060099991000,1778513041718936263,0,36962,2
2978,9060133313000,1778513041752130756,0,37106,2
2979,9060166637000,1778513041785532395,0,28191,2
2980,9060199957000,1778513041818824387,0,37755,2
2981,9060233278000,1778513041852101083,0,28261,2
2982,9060266599000,1778513041885369928,0,37770,2
2983,9060299921000,1778513041918727530,0,28867,2
2984,9060333242000,1778513041953874486,0,28941,2
2985,9060366564000,1778513041985331792,0,37777,2
2986,9060399885000,1778513042018706617,0,37232,2
