frame_num,sensor_ts_ns,wall_ts_ns,is_keyframe,size_bytes,packet_count
11827,9224268438000,1778513337190332533,0,11051,1
11828,9224301757000,1778513337223555076,0,11036,1
11829,9224335075000,1778513337256944005,0,10865,1
11830,9224368393000,1778513337290401211,0,10790,1
11831,9224401712000,1778513337323719919,0,11028,1
11832,9224435031000,1778513337358401275,0,16605,1
11833,9224468349000,1778513337391539393,0,16348,1
11834,9224501669000,1778513337424638882,0,16550,1
11835,9224534986000,1778513337457992997,0,16505,1
11836,9224568305000,1778513337491482480,0,16572,1
11837,9224601623000,1778513337524892390,0,16523,1
11838,9224634943000,1778513337558232950,0,16546,1
11839,9224668262000,1778513337591123479,0,16188,1
11840,9224701580000,1778513337624667536,0,16424,1
11841,9224734899000,1778513337659289836,0,16293,1
11842,9224768217000,1778513337691351988,0,16323,1
11843,9224801535000,1778513337725071394,0,16116,1
11844,9224834854000,1778513337764551718,0,16555,1
11845,9224868173000,1778513337795394332,0,16179,1
11846,9224901493000,1778513337827479335,0,16222,1
11847,9224934812000,1778513337863581948,0,16110,1
11848,9224968130000,1778513337892169020,0,16080,1
11849,9225001450000,1778513337927168501,0,16298,1
11850,9225034765000,1778513337958129298,0,16340,1
11851,9225068084000,1778513337990408225,0,10890,1
11852,9225101403000,1778513338024560643,0,16047,1
11853,9225134720000,1778513338062320825,0,16218,1
11854,9225168039000,1778513338093746097,0,16313,1
11855,9225201358000,1778513338126482609,0,16448,1
11856,9225234676000,1778513338158520799,0,16215,1
11857,9225267994000,1778513338191099721,0,16425,1
11858,9225301313000,1778513338224386282,0,16421,1
11859,9225334631000,1778513338259707739,0,15894,1
11860,9225367950000,1778513338293517940,0,16135,1
11861,9225401268000,1778513338326663799,0,16135,1
11862,9225434587000,1778513338359190166,0,15861,1
11863,9225467905000,1778513338391138042,0,15843,1
11864,9225501224000,1778513338424263383,0,15894,1
11865,9225534542000,1778513338457579535,0,15827,1
11866,9225567860000,1778513338490849207,0,15728,1
11867,9225601179000,1778513338524174026,0,15863,1
11868,9225634498000,1778513338557568307,0,15730,1
11869,9225667815000,1778513338591716596,0,16846,1
11870,9225701134000,1778513338624277537,0,16286,1
11871,9225734453000,1778513338657456358,0,15909,1
11872,9225767771000,1778513338689030776,0,6970,1
11873,9225801090000,1778513338723917944,0,15896,1
11874,9225834408000,1778513338757228689,0,16097,1
11875,9225867727000,1778513338790617155,0,16181,1
11876,9225901046000,1778513338824103750,0,16148,1
11877,9225934364000,1778513338858026634,0,20191,1
11878,9225967682000,1778513338892768915,0,16175,1
11879,9226001000000,1778513338924965842,0,20394,1
11880,9226034320000,1778513338957394082,0,16316,1
11881,9226067637000,1778513339003692086,1,104698,6
11882,9226100958000,1778513339026639979,0,34391,2
11883,9226134272000,1778513339060959210,0,17185,1
11884,9226167594000,1778513339092018876,0,7326,1
11885,9226200912000,1778513339124302340,0,5292,1
11886,9226234231000,1778513339159732925,0,5067,1
11887,9226267549000,1778513339189022524,0,7313,1
11888,9226300867000,1778513339222110088,0,7118,1
11889,9226334185000,1778513339256187026,0,10938,1
11890,9226367503000,1778513339291104766,0,10793,1
11891,9226400822000,1778513339322815238,0,10950,1
11892,9226434141000,1778513339356168223,0,10668,1
11893,9226467460000,1778513339390195681,0,10663,1
11894,9226500779000,1778513339422426478,0,10751,1
11895,9226534096000,1778513339461344643,0,16439,1
11896,9226567414000,1778513339492828841,0,16373,1
11897,9226600734000,1778513339526424415,0,16236,1
11898,9226634052000,1778513339559687235,0,16376,1
11899,9226667371000,1778513339592996999,0,16092,1
11900,9226700689000,1778513339626182098,0,16100,1
11901,9226734008000,1778513339660128019,0,16155,1
11902,9226767326000,1778513339690540584,0,16289,1
11903,9226800645000,1778513339723733331,0,15998,1
11904,9226833963000,1778513339758589535,0,16215,1
11905,9226867281000,1778513339792934432,0,16220,1
11906,9226900600000,1778513339826225030,0,16330,1
11907,9226933919000,1778513339857598136,0,16171,1
11908,9226967236000,1778513339890556442,0,16187,1
11909,9227000556000,1778513339923802595,0,16080,1
11910,9227033873000,1778513339956821641,0,16141,1
11911,9227067192000,1778513339990322791,0,16149,1
11912,9227100511000,1778513340023425576,0,16336,1
11913,9227133829000,1778513340057148019,0,16247,1
11914,9227167147000,1778513340089347521,0,11020,1
11915,9227200466000,1778513340125079343,0,16362,1
11916,9227233784000,1778513340158065408,0,16471,1
11917,9227267103000,1778513340192751800,0,16545,1
11918,9227300422000,1778513340228622379,0,16581,1
11919,9227333740000,1778513340257713758,0,16543,1
11920,9227367059000,1778513340290344569,0,16888,1
11921,9227400376000,1778513340323541927,0,16811,1
11922,9227433695000,1778513340356744637,0,16933,1
11923,9227467013000,1778513340392468995,0,16786,1
11924,9227500332000,1778513340423713141,0,16785,1
11925,9227533651000,1778513340456831259,0,16603,1
11926,9227566969000,1778513340489991155,0,16772,1
11927,9227600287000,1778513340524893599,0,16886,1
11928,9227633606000,1778513340558075902,0,16507,1
11929,9227666924000,1778513340592723239,0,16549,1
11930,9227700244000,1778513340626223278,0,16607,1
11931,9227733562000,1778513340656865228,0,16550,1
11932,9227766881000,1778513340687562288,0,16257,1
11933,9227800198000,1778513340720720740,0,16573,1
11934,9227833517000,1778513340755851625,0,16393,1
11935,9227866836000,1778513340792264882,0,16434,1
11936,9227900155000,1778513340825986306,0,16095,1
11937,9227933473000,1778513340858163068,0,16372,1
11938,9227966791000,1778513340889858151,0,7473,1
11939,9228000110000,1778513340923090916,0,16545,1
11940,9228033429000,1778513340957037930,0,20421,1
11941,9228066746000,1778513341002823978,1,104580,6
11942,9228100065000,1778513341026036868,0,35171,2
11943,9228133380000,1778513341058553013,0,17959,1
11944,9228166705000,1778513341088630916,0,7972,1
11945,9228200020000,1778513341121260004,0,5691,1
11946,9228233339000,1778513341154444807,0,5687,1
