EventSensor_ns,RowType,Source_Index,Source_SensorTimestamp_ns,Sink_Index,Sink_SensorTimestamp_ns,Sink_SensorTimestamp_Corrected_ns,TimeDifference_ns,TimeDifference_ms
7242027823000,MATCHED,0,7242027823000,0,8830244202000,7242027823000,0,0.000000
7242061155000,MATCHED,1,7242061155000,1,8830277523000,7242061144000,11000,0.011000
7242094464000,MATCHED,2,7242094464000,2,8830310847000,7242094468000,-4000,-0.004000
7242127780000,MATCHED,3,7242127780000,3,8830344161000,7242127782000,-2000,-0.002000
7242161108000,MATCHED,4,7242161108000,4,8830377476000,7242161097000,11000,0.011000
7242194420000,MATCHED,5,7242194420000,5,8830410795000,7242194416000,4000,0.004000
7242227735000,MATCHED,6,7242227735000,6,8830444116000,7242227737000,-2000,-0.002000
7242261058000,MATCHED,7,7242261058000,7,8830477433000,7242261054000,4000,0.004000
7242294375000,MATCHED,8,7242294375000,8,8830510752000,7242294373000,2000,0.002000
7242327691000,MATCHED,9,7242327691000,9,8830544068000,7242327689000,2000,0.002000
7242361006000,MATCHED,10,7242361006000,10,8830577388000,7242361009000,-3000,-0.003000
7242394325000,MATCHED,11,7242394325000,11,8830610707000,7242394328000,-3000,-0.003000
7242427644000,MATCHED,12,7242427644000,12,8830644043000,7242427664000,-20000,-0.020000
7242460962000,MATCHED,13,7242460962000,13,8830677347000,7242460968000,-6000,-0.006000
7242494283000,MATCHED,14,7242494283000,14,8830710669000,7242494290000,-7000,-0.007000
7242527603000,MATCHED,15,7242527603000,15,8830743989000,7242527610000,-7000,-0.007000
7242560922000,MATCHED,16,7242560922000,16,8830777303000,7242560924000,-2000,-0.002000
7242594241000,MATCHED,17,7242594241000,17,8830810616000,7242594237000,4000,0.004000
7242627560000,MATCHED,18,7242627560000,18,8830843932000,7242627553000,7000,0.007000
7242660876000,MATCHED,19,7242660876000,19,8830877250000,7242660871000,5000,0.005000
7242694194000,MATCHED,20,7242694194000,20,8830910569000,7242694190000,4000,0.004000
7242727512000,MATCHED,21,7242727512000,21,8830943895000,7242727516000,-4000,-0.004000
7242760840000,MATCHED,22,7242760840000,22,8830977207000,7242760828000,12000,0.012000
7242794154000,MATCHED,23,7242794154000,23,8831010527000,7242794148000,6000,0.006000
7242827484000,MATCHED,24,7242827484000,24,8831043845000,7242827466000,18000,0.018000
7242860794000,MATCHED,25,7242860794000,25,8831077164000,7242860785000,9000,0.009000
7242894109000,MATCHED,26,7242894109000,26,8831110481000,7242894102000,7000,0.007000
7242927425000,MATCHED,27,7242927425000,27,8831143799000,7242927420000,5000,0.005000
7242960741000,MATCHED,28,7242960741000,28,8831177117000,7242960738000,3000,0.003000
7242994063000,MATCHED,29,7242994063000,29,8831210436000,7242994057000,6000,0.006000
7243027380000,MATCHED,30,7243027380000,30,8831243756000,7243027377000,3000,0.003000
7243060701000,MATCHED,31,7243060701000,31,8831277073000,7243060694000,7000,0.007000
7243094022000,MATCHED,32,7243094022000,32,8831310392000,7243094013000,9000,0.009000
7243127338000,MATCHED,33,7243127338000,33,8831343710000,7243127331000,7000,0.007000
7243160655000,MATCHED,34,7243160655000,34,8831377029000,7243160650000,5000,0.005000
7243193971000,MATCHED,35,7243193971000,35,8831410348000,7243193969000,2000,0.002000
7243227295000,MATCHED,36,7243227295000,36,8831443666000,7243227287000,8000,0.008000
7243260607000,MATCHED,37,7243260607000,37,8831476984000,7243260605000,2000,0.002000
7243293929000,MATCHED,38,7243293929000,38,8831510303000,7243293924000,5000,0.005000
7243327244000,MATCHED,39,7243327244000,39,8831543621000,7243327242000,2000,0.002000
7243360563000,MATCHED,40,7243360563000,40,8831576940000,7243360561000,2000,0.002000
7243393885000,MATCHED,41,7243393885000,41,8831610258000,7243393879000,6000,0.006000
7243427202000,MATCHED,42,7243427202000,42,8831643576000,7243427197000,5000,0.005000
7243460518000,MATCHED,43,7243460518000,43,8831676896000,7243460517000,1000,0.001000
7243493843000,MATCHED,44,7243493843000,44,8831710214000,7243493835000,8000,0.008000
7243527153000,MATCHED,45,7243527153000,45,8831743531000,7243527152000,1000,0.001000
7243560475000,MATCHED,46,7243560475000,46,8831776849000,7243560470000,5000,0.005000
7243593792000,MATCHED,47,7243593792000,47,8831810168000,7243593789000,3000,0.003000
7243627115000,MATCHED,48,7243627115000,48,8831843487000,7243627108000,7000,0.007000
7243660431000,MATCHED,49,7243660431000,49,8831876806000,7243660427000,4000,0.004000
7243693756000,MATCHED,50,7243693756000,50,8831910123000,7243693744000,12000,0.012000
7243727067000,MATCHED,51,7243727067000,51,8831943443000,7243727064000,3000,0.003000
7243760383000,MATCHED,52,7243760383000,52,8831976761000,7243760382000,1000,0.001000
7243793705000,MATCHED,53,7243793705000,53,8832010079000,7243793700000,5000,0.005000
7243827019000,MATCHED,54,7243827019000,54,8832043399000,7243827020000,-1000,-0.001000
7243860338000,MATCHED,55,7243860338000,55,8832076716000,7243860337000,1000,0.001000
7243893660000,MATCHED,56,7243893660000,56,8832110035000,7243893656000,4000,0.004000
7243926977000,MATCHED,57,7243926977000,57,8832143354000,7243926975000,2000,0.002000
7243960300000,MATCHED,58,7243960300000,58,8832176672000,7243960293000,7000,0.007000
7243993618000,MATCHED,59,7243993618000,59,8832209991000,7243993612000,6000,0.006000
7244026934000,MATCHED,60,7244026934000,60,8832243309000,7244026930000,4000,0.004000
7244060249000,MATCHED,61,7244060249000,61,8832276627000,7244060248000,1000,0.001000
7244093570000,MATCHED,62,7244093570000,62,8832309949000,7244093570000,0,0.000000
7244126887000,MATCHED,63,7244126887000,63,8832343264000,7244126885000,2000,0.002000
7244160206000,MATCHED,64,7244160206000,64,8832376584000,7244160205000,1000,0.001000
7244193525000,MATCHED,65,7244193525000,65,8832409901000,7244193522000,3000,0.003000
7244226840000,MATCHED,66,7244226840000,66,8832443219000,7244226840000,0,0.000000
7244260159000,MATCHED,67,7244260159000,67,8832476538000,7244260159000,0,0.000000
7244293479000,MATCHED,68,7244293479000,68,8832509855000,7244293476000,3000,0.003000
7244326799000,MATCHED,69,7244326799000,69,8832543174000,7244326795000,4000,0.004000
7244360117000,MATCHED,70,7244360117000,70,8832576493000,7244360114000,3000,0.003000
7244393437000,MATCHED,71,7244393437000,71,8832609812000,7244393433000,4000,0.004000
